Unnamed: 0_x,name,latitude,longitude,free_bikes,rental_name,rental_address,Unnamed: 0_y,poi_name,poi_lat,poi_lon,Name,Rating_yelp,Location,Rating_foursquare
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,91.0,Plaça d'Ángel Pestaña,41.441637,2.179843,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,92.0,Casal de Barri Prosperitat,41.441711,2.179956,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,93.0,El Camarote,41.4429,2.182142,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,94.0,Rincon Galego,41.446,2.182962,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,95.0,Parc de la Guineueta,41.440047,2.174439,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,96.0,IES Sant Andreu,41.440601,2.180373,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,97.0,Farmàcia Palomo,41.446411,2.171489,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,98.0,Hiper Bocata,41.440474,2.176766,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,99.0,Belfort Activa,41.441496,2.172989,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,100.0,La Sirena,41.438476,2.176882,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,101.0,Bar Valcano,41.441396,2.172712,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,102.0,La Bodegueta d'en Miquel,41.437243,2.174071,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,103.0,Pizzeria Il Duomo & la Mole,41.442244,2.187161,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,104.0,Plaça Llucmajor,41.437744,2.174401,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,105.0,5 Hermanos,41.444176,2.165909,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,106.0,Mercat de la Guineueta,41.438592,2.170234,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,107.0,Cervecería & Cafetería Viki,41.450123,2.184307,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,108.0,Casa Castro,41.439502,2.170319,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,109.0,Fragola,41.437996,2.173172,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,110.0,Coluxdent Clinica Dental,41.439147,2.179333,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,111.0,Mercadona,41.437597,2.180506,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,112.0,El Abuelo,41.438772,2.175224,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,113.0,La Botigueta del Bon Menjar,41.436599,2.17284,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,114.0,Correos,41.437453,2.175383,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,115.0,Parque Infantil Canyelles,41.443592,2.167995,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,116.0,Mirador de Torre Baró,41.451693,2.178617,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,117.0,Residencia de Gent Gran Trinitat,41.447829,2.184946,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,118.0,Ceip Sant Jordi,41.448665,2.184918,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,119.0,Correos,41.437649,2.175558,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,120.0,Pretoblanc,41.444107,2.185845,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,121.0,Tokio,41.437135,2.175146,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,122.0,Centre D´Educacio Infantil I Primaria Merce Rodoreda,41.445844,2.1862,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,123.0,Daytona,41.443197,2.18576,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,124.0,Casa Angelita,41.437252,2.172719,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,125.0,Turó de Roquetes,41.450511,2.170358,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,126.0,Escola Bressol Municipal Colometa,41.446088,2.186323,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,127.0,Centre D´atencio Primaria Ciutat Meridiana,41.452053,2.173147,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,128.0,Caprabo,41.44282,2.187614,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,129.0,Pecäs Accessories,41.447281,2.186778,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,130.0,Farmacia Seguí i Sala,41.442553,2.187694,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,131.0,E.S. Inmuebles y Estructuras,41.443929,2.188242,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,132.0,Glassmur,41.448742,2.187239,,,,
2.0,PL. JESÚS CARRASCO,41.445046,2.176726,11.0,,,133.0,Ibérica de Jamones,41.442557,2.188073,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,134.0,Bar Andalucía,41.40301,2.207488,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,135.0,Palo Alto Market,41.404533,2.210372,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,136.0,Traspaso,41.405087,2.209974,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,137.0,BRKLYN Torrefaction,41.405842,2.205885,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,138.0,Jardins de Josep Trueta,41.404134,2.205044,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,139.0,El Fornet de Can Romà,41.406746,2.207727,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,140.0,La Marea,41.401715,2.210976,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,141.0,Les Petits Plaisirs,41.404611,2.212974,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,142.0,Bitácora Poblenou,41.40105,2.204684,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,143.0,Nollegiu,41.400101,2.205586,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,144.0,Cerveseria l'Alternativa,41.405009,2.203152,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,145.0,Federal,41.399656,2.205785,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,146.0,The Cake Man Bakery,41.400066,2.205541,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,147.0,mésDvi,41.400096,2.205029,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,148.0,Desoriente,41.400724,2.20369,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,149.0,ApriBocca - Italian Restaurant,41.399539,2.205047,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,150.0,Can Oliva,41.407183,2.203426,,,,
3.0,"C/ RAMON TURRÓ, 292",41.403856,2.208426,1.0,,,151.0,Baluard Barceloneta,41.402418,2.20146,,,,
